serial,date,reads
2,2009-06-01,573.3
1,2009-07-01,510.0
2,2009-07-01,663.0
1,2009-08-01,486.0
2,2009-08-01,631.8
1,2009-09-01,393.0
2,2009-09-01,510.9
1,2009-10-01,345.0
2,2009-10-01,448.5
1,2009-11-01,315.0
2,2009-11-01,409.5
1,2009-12-01,389.0
2,2009-12-01,505.7
1,2010-01-01,358.0
2,2010-01-01,465.4
1,2010-02-01,368.0
2,2010-02-01,478.4
1,2010-03-01,444.0
2,2010-03-01,577.2
1,2010-04-01,482.0
2,2010-04-01,626.6
1,2010-05-01,534.0
2,2010-05-01,694.2
1,2010-06-01,524.0
2,2010-06-01,681.2
1,2010-07-01,578.0
2,2010-07-01,751.4
1,2010-08-01,567.0
2,2010-08-01,737.1
1,2010-09-01,447.0
2,2010-09-01,581.1
1,2010-10-01,386.0
2,2010-10-01,501.8
1,2010-11-01,360.0
2,2010-11-01,468.0
1,2010-12-01,428.0
2,2010-12-01,556.4
1,2011-01-01,397.0
2,2011-01-01,516.1
1,2011-02-01,400.0
2,2011-02-01,520.0
1,2011-03-01,498.0
2,2011-03-01,647.4
1,2011-04-01,536.0
2,2011-04-01,696.8
1,2011-05-01,596.0
2,2011-05-01,774.8
1,2011-06-01,591.0
2,2011-06-01,768.3
1,2011-07-01,651.0
2,2011-07-01,846.3
1,2011-08-01,654.0
2,2011-08-01,850.2
1,2011-09-01,509.0
2,2011-09-01,661.7
1,2011-10-01,437.0
2,2011-10-01,568.1
1,2011-11-01,406.0
2,2011-11-01,527.8
1,2011-12-01,470.0
2,2011-12-01,611.0
1,2012-01-01,428.0
2,2012-01-01,556.4
1,2012-02-01,423.0
2,2012-02-01,549.9
1,2012-03-01,507.0
2,2012-03-01,659.1
1,2012-04-01,536.0
2,2012-04-01,696.8
1,2012-05-01,610.0
2,2012-05-01,793.0
1,2012-06-01,609.0
2,2012-06-01,791.7
1,2012-07-01,687.0
2,2012-07-01,893.1
1,2012-08-01,707.0
2,2012-08-01,919.1
1,2012-09-01,509.0
2,2012-09-01,661.7
1,2012-10-01,452.0
2,2012-10-01,587.6
1,2012-11-01,412.0
2,2012-11-01,535.6
1,2012-12-01,472.0
2,2012-12-01,613.6
1,2013-01-01,454.0
2,2013-01-01,590.2
1,2013-02-01,455.0
2,2013-02-01,591.5
1,2013-03-01,568.0
2,2013-03-01,738.4
1,2013-04-01,610.0
2,2013-04-01,793.0
1,2013-05-01,706.0
2,2013-05-01,917.8
1,2013-06-01,661.0
2,2013-06-01,859.3
1,2013-07-01,767.0
2,2013-07-01,997.1
1,2013-08-01,783.0
2,2013-08-01,1017.9
1,2013-09-01,583.0
2,2013-09-01,757.9
1,2013-10-01,513.0
2,2013-10-01,666.9
1,2013-11-01,481.0
2,2013-11-01,625.3
1,2013-12-01,567.0
2,2013-12-01,737.1
1,2014-01-01,525.0
2,2014-01-01,682.5
1,2014-02-01,520.0
2,2014-02-01,676.0
1,2014-03-01,587.0
2,2014-03-01,763.1
1,2014-04-01,710.0
2,2014-04-01,923.0
1,2014-05-01,793.0
2,2014-05-01,1030.9
1,2014-06-01,749.0
2,2014-06-01,973.7
1,2014-07-01,871.0
2,2014-07-01,1132.3
1,2014-08-01,848.0
2,2014-08-01,1102.4
1,2014-09-01,640.0
2,2014-09-01,832.0
1,2014-10-01,581.0
2,2014-10-01,755.3
1,2014-11-01,519.0
2,2014-11-01,674.7
1,2014-12-01,605.0
2,2014-12-01,786.5
